ANNO_ACCADEMICO;COD_ATENEO;NOME_ATENEO;CODICE_INTERVENTO;DESCRIZIONE_INTERVENTO;INTERVENTI_LAUREA;INTERVENTI_LAUREA_EXTRA_UE;INTERVENTI_DOTTORATO;INTERVENTI_SPECIALIZZAZIONE;INTERVENTI_MASTER_PERFEZIONAMENTO
2010-2011;06303;"Napoli - Università degli studi ""L' Orientale""";073   ;Interventi a favore di studenti in situazione di handicap - N. contributi finanziari;108;0;0;0;0
2010-2011;06303;"Napoli - Università degli studi ""L' Orientale""";074   ;Interventi a favore di studenti in situazione di handicap - N. interventi non finanziari;0;0;0;0;0
2010-2011;06303;"Napoli - Università degli studi ""L' Orientale""";081   ;Attività di collaborazione a tempo parziale - N. collaborazioni;171;0;0;0;0
2010-2011;06303;"Napoli - Università degli studi ""L' Orientale""";091   ;Posti alloggio e contributi-alloggio - N. domande posti alloggio;0;0;0;0;0
2010-2011;06303;"Napoli - Università degli studi ""L' Orientale""";092   ;Posti alloggio e contributi-alloggio - N. posti alloggio assegnati;0;0;0;0;0
2010-2011;06303;"Napoli - Università degli studi ""L' Orientale""";093   ;Posti alloggio e contributi-alloggio - N. domande contributi-alloggio;0;0;0;0;0
2010-2011;06303;"Napoli - Università degli studi ""L' Orientale""";094   ;Posti alloggio e contributi-alloggio - N. contributi-alloggio assegnati;0;0;0;0;0
2010-2011;06303;"Napoli - Università degli studi ""L' Orientale""";101   ;Altri interventi di tipo finanziario - N. prestiti agevolati concessi da istituti di credito convenzionati;0;0;0;0;0
2010-2011;06303;"Napoli - Università degli studi ""L' Orientale""";104   ;Altri interventi di tipo finanziario - N. altri sussidi erogati;72;1;16;0;0
2010-2011;06303;"Napoli - Università degli studi ""L' Orientale""";111a  ;Borse di studio post-lauream - N. borse finanziate con fondi MIUR;;;38;0;0
2010-2011;06303;"Napoli - Università degli studi ""L' Orientale""";111b  ;Borse di studio post-lauream - N. borse finanziate da altri Ministeri;;;0;0;0
2010-2011;06303;"Napoli - Università degli studi ""L' Orientale""";112   ;Borse di studio post-lauream - N. borse finanziate dall'Ateneo con fondi propri;;;26;0;0
2010-2011;06303;"Napoli - Università degli studi ""L' Orientale""";113   ;Borse di studio post-lauream - N. borse finanziate mediante convenzione con altri Atenei;;;2;0;0
2010-2011;06303;"Napoli - Università degli studi ""L' Orientale""";114   ;Borse di studio post-lauream - N. borse finanziate con fondi UE;;;0;0;0
2010-2011;06303;"Napoli - Università degli studi ""L' Orientale""";115   ;Borse di studio post-lauream - N. borse finanziate mediante convenzione con altri enti pubblici;;;4;0;0
2010-2011;06303;"Napoli - Università degli studi ""L' Orientale""";116   ;Borse di studio post-lauream - N. borse finanziate mediante convenzione con enti privati;;;0;0;0
2010-2011;06304;"Napoli - Istituto Universitario ""Suor Orsola Benincasa""";030   ;Borse di studio - N. borse di studio concesse con fondi dell'ATENEO;0;0;0;0;0
2010-2011;06304;"Napoli - Istituto Universitario ""Suor Orsola Benincasa""";061   ;Mobilità internazionale - N. iscritti nell'ateneo coinvolti in programmi di mobilità internazionale (studenti in uscita);52;0;0;0;0
2010-2011;06304;"Napoli - Istituto Universitario ""Suor Orsola Benincasa""";061c  ;Mobilità internazionale - N. iscritti nell'ateneo coinvolti in programmi di mobilità internazionale (studenti in uscita)- di cui studenti SENZA borsa ;0;0;0;0;0
2010-2011;06304;"Napoli - Istituto Universitario ""Suor Orsola Benincasa""";061m  ;Mobilità internazionale - N. iscritti nell'ateneo coinvolti in programmi di mobilità internazionale (studenti in uscita)- di cui studenti in mobilità extraeuropea ;0;0;0;0;0
2010-2011;06304;"Napoli - Istituto Universitario ""Suor Orsola Benincasa""";061p  ;Mobilità internazionale - N. iscritti nell'ateneo coinvolti in programmi di mobilità internazionale (studenti in uscita)- di cui dottorandi percettori di borsa che usufruiscono della maggiorazione del 50% ;;;0;;
2010-2011;06304;"Napoli - Istituto Universitario ""Suor Orsola Benincasa""";063   ;Mobilità internazionale - N. iscritti in atenei esteri coinvolti in programmi di mobilità internazionale presso l'ateneo italiano (studenti in entrata);31;0;0;0;0
2010-2011;06304;"Napoli - Istituto Universitario ""Suor Orsola Benincasa""";064   ;Mobilità internazionale - N. iscritti in atenei esteri coinvolti in programmi di mobilità internazionale presso l'ateneo italiano (studenti in entrata)- di cui studenti provenienti da Paesi extraeuropei ;3;0;0;0;0
2010-2011;06304;"Napoli - Istituto Universitario ""Suor Orsola Benincasa""";073   ;Interventi a favore di studenti in situazione di handicap - N. contributi finanziari;0;0;0;0;0
2010-2011;06304;"Napoli - Istituto Universitario ""Suor Orsola Benincasa""";074   ;Interventi a favore di studenti in situazione di handicap - N. interventi non finanziari;0;0;0;0;0
2010-2011;06304;"Napoli - Istituto Universitario ""Suor Orsola Benincasa""";081   ;Attività di collaborazione a tempo parziale - N. collaborazioni;0;0;0;0;0
2010-2011;06304;"Napoli - Istituto Universitario ""Suor Orsola Benincasa""";091   ;Posti alloggio e contributi-alloggio - N. domande posti alloggio;16;0;0;0;0
2010-2011;06304;"Napoli - Istituto Universitario ""Suor Orsola Benincasa""";092   ;Posti alloggio e contributi-alloggio - N. posti alloggio assegnati;11;0;0;0;0
2010-2011;06304;"Napoli - Istituto Universitario ""Suor Orsola Benincasa""";093   ;Posti alloggio e contributi-alloggio - N. domande contributi-alloggio;0;0;0;0;0
2010-2011;06304;"Napoli - Istituto Universitario ""Suor Orsola Benincasa""";094   ;Posti alloggio e contributi-alloggio - N. contributi-alloggio assegnati;0;0;0;0;0
2010-2011;06304;"Napoli - Istituto Universitario ""Suor Orsola Benincasa""";101   ;Altri interventi di tipo finanziario - N. prestiti agevolati concessi da istituti di credito convenzionati;0;0;0;0;0
2010-2011;06304;"Napoli - Istituto Universitario ""Suor Orsola Benincasa""";104   ;Altri interventi di tipo finanziario - N. altri sussidi erogati;0;0;0;0;0
2010-2011;06304;"Napoli - Istituto Universitario ""Suor Orsola Benincasa""";111a  ;Borse di studio post-lauream - N. borse finanziate con fondi MIUR;;;0;0;0
2010-2011;06304;"Napoli - Istituto Universitario ""Suor Orsola Benincasa""";111b  ;Borse di studio post-lauream - N. borse finanziate da altri Ministeri;;;0;0;0
2010-2011;06304;"Napoli - Istituto Universitario ""Suor Orsola Benincasa""";112   ;Borse di studio post-lauream - N. borse finanziate dall'Ateneo con fondi propri;;;5;0;1
2010-2011;06304;"Napoli - Istituto Universitario ""Suor Orsola Benincasa""";113   ;Borse di studio post-lauream - N. borse finanziate mediante convenzione con altri Atenei;;;2;0;0
2010-2011;06304;"Napoli - Istituto Universitario ""Suor Orsola Benincasa""";114   ;Borse di studio post-lauream - N. borse finanziate con fondi UE;;;0;0;0
2010-2011;06304;"Napoli - Istituto Universitario ""Suor Orsola Benincasa""";115   ;Borse di studio post-lauream - N. borse finanziate mediante convenzione con altri enti pubblici;;;2;0;3
2010-2011;06304;"Napoli - Istituto Universitario ""Suor Orsola Benincasa""";116   ;Borse di studio post-lauream - N. borse finanziate mediante convenzione con enti privati;;;0;0;0
2010-2011;06306;Napoli - Seconda Università degli studi;030   ;Borse di studio - N. borse di studio concesse con fondi dell'ATENEO;175;0;4;14;0
2010-2011;06306;Napoli - Seconda Università degli studi;061   ;Mobilità internazionale - N. iscritti nell'ateneo coinvolti in programmi di mobilità internazionale (studenti in uscita);175;0;4;14;0
2010-2011;06306;Napoli - Seconda Università degli studi;061c  ;Mobilità internazionale - N. iscritti nell'ateneo coinvolti in programmi di mobilità internazionale (studenti in uscita)- di cui studenti SENZA borsa ;0;0;1;0;0
2010-2011;06306;Napoli - Seconda Università degli studi;061m  ;Mobilità internazionale - N. iscritti nell'ateneo coinvolti in programmi di mobilità internazionale (studenti in uscita)- di cui studenti in mobilità extraeuropea ;5;0;0;0;0
2010-2011;06306;Napoli - Seconda Università degli studi;061p  ;Mobilità internazionale - N. iscritti nell'ateneo coinvolti in programmi di mobilità internazionale (studenti in uscita)- di cui dottorandi percettori di borsa che usufruiscono della maggiorazione del 50% ;;;3;;
2010-2011;06306;Napoli - Seconda Università degli studi;063   ;Mobilità internazionale - N. iscritti in atenei esteri coinvolti in programmi di mobilità internazionale presso l'ateneo italiano (studenti in entrata);120;0;0;0;0
2010-2011;06306;Napoli - Seconda Università degli studi;064   ;Mobilità internazionale - N. iscritti in atenei esteri coinvolti in programmi di mobilità internazionale presso l'ateneo italiano (studenti in entrata)- di cui studenti provenienti da Paesi extraeuropei ;21;0;0;0;0
2010-2011;06306;Napoli - Seconda Università degli studi;073   ;Interventi a favore di studenti in situazione di handicap - N. contributi finanziari;0;0;0;0;0
2010-2011;06306;Napoli - Seconda Università degli studi;074   ;Interventi a favore di studenti in situazione di handicap - N. interventi non finanziari;59;0;0;0;0
2010-2011;06306;Napoli - Seconda Università degli studi;081   ;Attività di collaborazione a tempo parziale - N. collaborazioni;0;0;0;0;0
2010-2011;06306;Napoli - Seconda Università degli studi;091   ;Posti alloggio e contributi-alloggio - N. domande posti alloggio;0;0;0;0;0
2010-2011;06306;Napoli - Seconda Università degli studi;092   ;Posti alloggio e contributi-alloggio - N. posti alloggio assegnati;0;0;0;0;0
2010-2011;06306;Napoli - Seconda Università degli studi;093   ;Posti alloggio e contributi-alloggio - N. domande contributi-alloggio;0;0;0;0;0
2010-2011;06306;Napoli - Seconda Università degli studi;094   ;Posti alloggio e contributi-alloggio - N. contributi-alloggio assegnati;0;0;0;0;0
2010-2011;06306;Napoli - Seconda Università degli studi;101   ;Altri interventi di tipo finanziario - N. prestiti agevolati concessi da istituti di credito convenzionati;0;0;0;0;0
2010-2011;06306;Napoli - Seconda Università degli studi;104   ;Altri interventi di tipo finanziario - N. altri sussidi erogati;0;0;0;0;0
2010-2011;06306;Napoli - Seconda Università degli studi;111a  ;Borse di studio post-lauream - N. borse finanziate con fondi MIUR;;;145;0;0
2010-2011;06306;Napoli - Seconda Università degli studi;111b  ;Borse di studio post-lauream - N. borse finanziate da altri Ministeri;;;0;0;0
2010-2011;06306;Napoli - Seconda Università degli studi;112   ;Borse di studio post-lauream - N. borse finanziate dall'Ateneo con fondi propri;;;93;0;0
2010-2011;06306;Napoli - Seconda Università degli studi;113   ;Borse di studio post-lauream - N. borse finanziate mediante convenzione con altri Atenei;;;13;0;0
2010-2011;06306;Napoli - Seconda Università degli studi;114   ;Borse di studio post-lauream - N. borse finanziate con fondi UE;;;27;0;0
2010-2011;06306;Napoli - Seconda Università degli studi;115   ;Borse di studio post-lauream - N. borse finanziate mediante convenzione con altri enti pubblici;;;8;0;0
2010-2011;06306;Napoli - Seconda Università degli studi;116   ;Borse di studio post-lauream - N. borse finanziate mediante convenzione con enti privati;;;17;0;0
2010-2011;06307;"Napoli - Università telematica ""Pegaso""";030   ;Borse di studio - N. borse di studio concesse con fondi dell'ATENEO;0;0;0;0;0
2010-2011;06307;"Napoli - Università telematica ""Pegaso""";061   ;Mobilità internazionale - N. iscritti nell'ateneo coinvolti in programmi di mobilità internazionale (studenti in uscita);0;0;0;0;0
2010-2011;06307;"Napoli - Università telematica ""Pegaso""";061c  ;Mobilità internazionale - N. iscritti nell'ateneo coinvolti in programmi di mobilità internazionale (studenti in uscita)- di cui studenti SENZA borsa ;0;0;0;0;0
2010-2011;06307;"Napoli - Università telematica ""Pegaso""";061m  ;Mobilità internazionale - N. iscritti nell'ateneo coinvolti in programmi di mobilità internazionale (studenti in uscita)- di cui studenti in mobilità extraeuropea ;0;0;0;0;0
2010-2011;06307;"Napoli - Università telematica ""Pegaso""";061p  ;Mobilità internazionale - N. iscritti nell'ateneo coinvolti in programmi di mobilità internazionale (studenti in uscita)- di cui dottorandi percettori di borsa che usufruiscono della maggiorazione del 50% ;;;0;;
2010-2011;06307;"Napoli - Università telematica ""Pegaso""";063   ;Mobilità internazionale - N. iscritti in atenei esteri coinvolti in programmi di mobilità internazionale presso l'ateneo italiano (studenti in entrata);0;0;0;0;0
2010-2011;06307;"Napoli - Università telematica ""Pegaso""";064   ;Mobilità internazionale - N. iscritti in atenei esteri coinvolti in programmi di mobilità internazionale presso l'ateneo italiano (studenti in entrata)- di cui studenti provenienti da Paesi extraeuropei ;0;0;0;0;0
2010-2011;06307;"Napoli - Università telematica ""Pegaso""";073   ;Interventi a favore di studenti in situazione di handicap - N. contributi finanziari;0;0;0;0;0
2010-2011;06307;"Napoli - Università telematica ""Pegaso""";074   ;Interventi a favore di studenti in situazione di handicap - N. interventi non finanziari;0;0;0;0;0
2010-2011;06307;"Napoli - Università telematica ""Pegaso""";081   ;Attività di collaborazione a tempo parziale - N. collaborazioni;0;0;0;0;0
2010-2011;06307;"Napoli - Università telematica ""Pegaso""";091   ;Posti alloggio e contributi-alloggio - N. domande posti alloggio;0;0;0;0;0
2010-2011;06307;"Napoli - Università telematica ""Pegaso""";092   ;Posti alloggio e contributi-alloggio - N. posti alloggio assegnati;0;0;0;0;0
2010-2011;06307;"Napoli - Università telematica ""Pegaso""";093   ;Posti alloggio e contributi-alloggio - N. domande contributi-alloggio;0;0;0;0;0
2010-2011;06307;"Napoli - Università telematica ""Pegaso""";094   ;Posti alloggio e contributi-alloggio - N. contributi-alloggio assegnati;0;0;0;0;0
2010-2011;06307;"Napoli - Università telematica ""Pegaso""";101   ;Altri interventi di tipo finanziario - N. prestiti agevolati concessi da istituti di credito convenzionati;0;0;0;0;0
2010-2011;06307;"Napoli - Università telematica ""Pegaso""";104   ;Altri interventi di tipo finanziario - N. altri sussidi erogati;0;0;0;0;0
2010-2011;06307;"Napoli - Università telematica ""Pegaso""";111a  ;Borse di studio post-lauream - N. borse finanziate con fondi MIUR;;;0;0;0
2010-2011;06307;"Napoli - Università telematica ""Pegaso""";111b  ;Borse di studio post-lauream - N. borse finanziate da altri Ministeri;;;0;0;0
2010-2011;06307;"Napoli - Università telematica ""Pegaso""";112   ;Borse di studio post-lauream - N. borse finanziate dall'Ateneo con fondi propri;;;0;0;0
2010-2011;06307;"Napoli - Università telematica ""Pegaso""";113   ;Borse di studio post-lauream - N. borse finanziate mediante convenzione con altri Atenei;;;0;0;0
2010-2011;06307;"Napoli - Università telematica ""Pegaso""";114   ;Borse di studio post-lauream - N. borse finanziate con fondi UE;;;0;0;0
2010-2011;06307;"Napoli - Università telematica ""Pegaso""";115   ;Borse di studio post-lauream - N. borse finanziate mediante convenzione con altri enti pubblici;;;0;0;0
